_id,experience_order,preferredLabel_en,preferredLabel_de,description_en,description_de,preferredLabel_skills,skills,encoded_experience,scaled_id
100000,0,domestic housekeeper,hauswirtschafter privathaushalt/hauswirtschafterin privathaushalt,"Domestic housekeepers are responsible for all the household activities in a private house. They oversee and execute duties according to the needs of the employer such as cooking, cleaning and washing activities, taking care of children and gardening. They order supplies and are in charge of expenditures allocated. Domestic housekeepers may supervise and instruct household staff in large households.","Hauswirtschafter im Privathaushalt sind für alle Hausarbeiten in einem Privathaushalt verantwortlich. Sie beaufsichtigen und übernehmen Aufgaben je nach Bedarf des Arbeitgebers (z. B. Kochen, Reinigen und Waschen), betreuen die Kinder und pflegen den Garten. Sie bestellen Einkäufe und verwalten die ihnen zugewiesene Haushaltskasse. In großen Haushalten führen Hauswirtschafter im Privathaushalt bisweilen die Aufsicht über das Hauspersonal und erteilen ihm Anweisungen.",domestic housekeeper,"['cleaning techniques', 'maintain inventory of cleaning supplies', 'supervise housekeeping operations', 'wash the laundry', 'manage schedule of tasks', 'maintain personal hygiene standards', 'work ergonomically', 'order supplies', 'remove dust', 'perform cleaning duties', 'handle chemical cleaning agents', 'iron textiles', 'vacuum surfaces', ""identify customer's needs"", 'clean surfaces', 'buy groceries', 'maintain cleaning equipment', 'clean rooms', 'satisfy customers', 'monitor kitchen supplies', 'store kitchen supplies', 'make the beds', 'control of expenses', 'dietary regimes', 'lawn care', 'teach housekeeping skills', 'assist children with homework', 'give instructions to staff', 'feed pets', 'tend to elderly people', 'greet guests', 'clean household linens', 'organise wine cellar', 'manage staff', 'control minor maintenance', 'collect mail', 'serve food in table service', 'use food preparation techniques', 'follow written instructions', 'oversee maintenance work', 'handle linen in stock', 'promote human rights', 'provide dog walking services', 'disseminate messages to people', ""support children's wellbeing"", 'manage cleaning activities', 'arrange special events', 'communicate with youth', 'assist clients with special needs', 'maintain gardening equipment', ""attend to children's basic physical needs"", 'serve beverages', 'wash the dishes', 'polish silverware', 'clean glass surfaces', 'perform outdoor cleaning activities', 'use cooking techniques', 'supervise children']",0,0.3211140712250347
100000,1,domestic cleaner,reinigungskraft in privathaushalt,"Domestic cleaners perform all necessary cleaning activities in order to clean their clients' houses. They vacuum and sweep floors, wash dishes, launder clothes, dust, scrub and polish surfaces and disinfect equipment and materials.","Reinigungskräfte in Privathaushalten führen alle erforderlichen Reinigungsarbeiten durch, um die Häuser ihrer Kunden zu reinigen. Sie saugen und wischen Fußböden, spülen Geschirr, waschen Kleidung, übernehmen das Abstauben, Schrubben und Polieren von Oberflächen und das Desinfizieren von Geräten und Materialien.",domestic cleaner,"['cleaning techniques', 'maintain inventory of cleaning supplies', 'maintain personal hygiene standards when cleaning', 'wash the laundry', 'work ergonomically', 'clean household linens', 'remove dust', 'perform cleaning duties', 'handle chemical cleaning agents', 'iron textiles', 'clean toilet facilities', 'vacuum surfaces', 'clean surfaces', 'maintain cleaning equipment', 'clean rooms', ""restock toilet facilities' supplies"", 'wash the dishes', 'ensure cleanliness of food preparation area', 'clean glass surfaces', 'make the beds', 'sort waste', 'feed pets', 'handle linen in stock', 'clean vehicle exterior', 'wash costumes', 'carry out pressure washing activities', 'buy groceries', 'provide dog walking services', 'maintain wardrobe', 'lift heavy weights', 'maintain a safe, hygienic and secure working environment', 'wash vehicles', 'clean vehicle interiors', 'perform outdoor cleaning activities', 'supervise children']",1,0.3211140712250347
100000,2,domestic cleaner,reinigungskraft in privathaushalt,"Domestic cleaners perform all necessary cleaning activities in order to clean their clients' houses. They vacuum and sweep floors, wash dishes, launder clothes, dust, scrub and polish surfaces and disinfect equipment and materials.","Reinigungskräfte in Privathaushalten führen alle erforderlichen Reinigungsarbeiten durch, um die Häuser ihrer Kunden zu reinigen. Sie saugen und wischen Fußböden, spülen Geschirr, waschen Kleidung, übernehmen das Abstauben, Schrubben und Polieren von Oberflächen und das Desinfizieren von Geräten und Materialien.",domestic cleaner,"['cleaning techniques', 'maintain inventory of cleaning supplies', 'maintain personal hygiene standards when cleaning', 'wash the laundry', 'work ergonomically', 'clean household linens', 'remove dust', 'perform cleaning duties', 'handle chemical cleaning agents', 'iron textiles', 'clean toilet facilities', 'vacuum surfaces', 'clean surfaces', 'maintain cleaning equipment', 'clean rooms', ""restock toilet facilities' supplies"", 'wash the dishes', 'ensure cleanliness of food preparation area', 'clean glass surfaces', 'make the beds', 'sort waste', 'feed pets', 'handle linen in stock', 'clean vehicle exterior', 'wash costumes', 'carry out pressure washing activities', 'buy groceries', 'provide dog walking services', 'maintain wardrobe', 'lift heavy weights', 'maintain a safe, hygienic and secure working environment', 'wash vehicles', 'clean vehicle interiors', 'perform outdoor cleaning activities', 'supervise children']",2,0.3211140712250347
100000,3,domestic cleaner,reinigungskraft in privathaushalt,"Domestic cleaners perform all necessary cleaning activities in order to clean their clients' houses. They vacuum and sweep floors, wash dishes, launder clothes, dust, scrub and polish surfaces and disinfect equipment and materials.","Reinigungskräfte in Privathaushalten führen alle erforderlichen Reinigungsarbeiten durch, um die Häuser ihrer Kunden zu reinigen. Sie saugen und wischen Fußböden, spülen Geschirr, waschen Kleidung, übernehmen das Abstauben, Schrubben und Polieren von Oberflächen und das Desinfizieren von Geräten und Materialien.",domestic cleaner,"['cleaning techniques', 'maintain inventory of cleaning supplies', 'maintain personal hygiene standards when cleaning', 'wash the laundry', 'work ergonomically', 'clean household linens', 'remove dust', 'perform cleaning duties', 'handle chemical cleaning agents', 'iron textiles', 'clean toilet facilities', 'vacuum surfaces', 'clean surfaces', 'maintain cleaning equipment', 'clean rooms', ""restock toilet facilities' supplies"", 'wash the dishes', 'ensure cleanliness of food preparation area', 'clean glass surfaces', 'make the beds', 'sort waste', 'feed pets', 'handle linen in stock', 'clean vehicle exterior', 'wash costumes', 'carry out pressure washing activities', 'buy groceries', 'provide dog walking services', 'maintain wardrobe', 'lift heavy weights', 'maintain a safe, hygienic and secure working environment', 'wash vehicles', 'clean vehicle interiors', 'perform outdoor cleaning activities', 'supervise children']",3,0.3211140712250347
100000,4,domestic cleaner,reinigungskraft in privathaushalt,"Domestic cleaners perform all necessary cleaning activities in order to clean their clients' houses. They vacuum and sweep floors, wash dishes, launder clothes, dust, scrub and polish surfaces and disinfect equipment and materials.","Reinigungskräfte in Privathaushalten führen alle erforderlichen Reinigungsarbeiten durch, um die Häuser ihrer Kunden zu reinigen. Sie saugen und wischen Fußböden, spülen Geschirr, waschen Kleidung, übernehmen das Abstauben, Schrubben und Polieren von Oberflächen und das Desinfizieren von Geräten und Materialien.",domestic cleaner,"['cleaning techniques', 'maintain inventory of cleaning supplies', 'maintain personal hygiene standards when cleaning', 'wash the laundry', 'work ergonomically', 'clean household linens', 'remove dust', 'perform cleaning duties', 'handle chemical cleaning agents', 'iron textiles', 'clean toilet facilities', 'vacuum surfaces', 'clean surfaces', 'maintain cleaning equipment', 'clean rooms', ""restock toilet facilities' supplies"", 'wash the dishes', 'ensure cleanliness of food preparation area', 'clean glass surfaces', 'make the beds', 'sort waste', 'feed pets', 'handle linen in stock', 'clean vehicle exterior', 'wash costumes', 'carry out pressure washing activities', 'buy groceries', 'provide dog walking services', 'maintain wardrobe', 'lift heavy weights', 'maintain a safe, hygienic and secure working environment', 'wash vehicles', 'clean vehicle interiors', 'perform outdoor cleaning activities', 'supervise children']",4,0.3211140712250347
100002,0,lacquer maker,farben- und lacktechniker/farben- und lacktechnikerin,"Lacquer makers operate and maintain laquers and syntetic paints mixers and jar mills, making sure the end product is according to formula.","Farben- und Lacktechniker bedienen und warten Mischmaschinen und Mühlen für Lacke und synthetische Farben, wobei sie sicherstellen, dass das Enderzeugnis der Rezeptur entspricht.",lacquer maker,"['quality standards', 'measure chemical substance viscosity', 'add colour', 'troubleshoot', 'operate jar mill', 'wear appropriate protective gear', 'select lacquer ingredients', 'work safely with chemicals', 'supply machine', 'set up the controller of a machine', 'heat lacquer mixture', 'prepare chemical samples', 'measure materials', 'quality and cycle time optimisation', 'ensure compliance with environmental legislation', 'perform laboratory tests', 'optimise production processes parameters', 'work ergonomically', 'record production data for quality control', 'record test data', 'handle delivery of raw materials', 'perform product testing', 'dispose of hazardous waste', 'monitor stock level', 'communicate with external laboratories', 'report test findings', 'perform machine maintenance', 'report defective manufacturing materials', 'program a CNC controller', 'write batch record documentation', 'spray test panel', 'clean mixer']",0,0.32118188032706807
100002,1,wood caulker,kalfaterer/kalfatererin,Wood caulkers drive oakum into the seams between planking in deck or hull of wooden ships to make them watertight. They mainly use hand tools to heat marine glue and force it into the seams. They can also hammer hemp ropes and cotton lines into the seams and smear hot pitch over them.,"Kalfaterer machen Schiffe wasserdicht, indem sie die Nähte zwischen hölzernen Schiffsplanken mit Werg abdichten. Sie verwenden hauptsächlich Handwerkzeuge, um Schiffsklebstoff zu erhitzen und ihn in die Nähte einzubringen. Möglicherweise verwenden sie auch Hanfseile und Baumwolle, die sie dann mit heißem Pech versiegeln.",wood caulker,"['traditional wood caulking materials', 'types of wood', 'wood caulking processes', 'calculate materials to build equipment', 'handle chemicals', 'ensure integrity of hull', 'wear appropriate protective gear', 'clean equipment', 'ensure vessel compliance with regulations', 'apply health and safety standards', 'apply preliminary treatment to workpieces', 'dispose of hazardous waste', 'use power tools', 'warm marine glue', 'coat seams with hot pitch', 'use caulking tools', 'assist in ship maintenance', 'coat seams with putty', 'operate hot glue gun', 'remove excess glue', 'apply rubber sealant', 'remove old caulking']",1,0.32118188032706807
100002,2,vehicle maintenance attendant,helfer im bereich fahrzeugbau und -instandhaltung/helferin im bereich fahrzeugbau und -instandhaltung,"Vehicle maintenance attendants execute basic tasks such as changing oil, changing filters, changing spark plugs at a vehicle maintenance station.","Helfer im Bereich Fahrzeugbau und -instandhaltung führen in einer Kfz-Werkstatt einfache Arbeiten wie z. B. Ölwechsel, Filterwechsel und Zündkerzenwechsel aus.",vehicle maintenance attendant,"['car controls', 'types of vehicles', 'follow procedures to control substances hazardous to health', 'execute vehicle maintenance', 'identify vehicles service requirements', 'position vehicles for maintenance and repair', 'handle chemical cleaning agents', 'maintain work area cleanliness', 'perform technical tasks with great care', 'ensure client orientation', 'apply health and safety standards', 'execute working instructions', 'perform manual work autonomously', 'carry out improvised vehicle repairs', 'mechanical tools', 'teamwork principles', 'mechanics', 'maintain vehicle records', 'maintain inventory of vehicle cleaning supplies', 'fix minor vehicle scratches', 'drive vehicles', 'order supplies for vehicle maintenance and repair', 'perform minor vehicle repairs', 'process payments', 'report accounts of the professional activity', 'issue sales invoices']",2,0.32118188032706807
100002,3,mineral processing operator,mineralaufbereiter/mineralaufbereiterin,Mineral processing operators operate a variety of plants and equipment to convert raw materials into marketable products. They provide the appropriate information on the process to the control room.,Mineralaufbereiter betreiben eine Reihe von Anlagen und Geräten zur Umwandlung von Rohstoffen in marktfähige Produkte. Sie stellen die benötigten Informationen zum Verfahren für den Kontrollraum bereit.,mineral processing operator,"['work ergonomically', 'collect samples', 'mix treating materials', 'handle chemicals', 'troubleshoot', 'operate raw mineral separation equipment', 'deal with pressure from unexpected circumstances', 'operate raw mineral size reduction equipment', 'conduct inter-shift communication', 'electricity', 'chemistry', 'mechanics', 'bioleaching', 'write production reports', 'operate wash plant', 'handle mining plant waste', 'perform minor repairs to equipment', 'test raw minerals', 'train employees']",3,0.32118188032706807
0,0,sales engineer,vertriebstechniker/vertriebstechnikerin,"Sales engineers provide technical customisation of products based on customers requests and needs (mainly heavy duty), such as building equipment. They take care of business to business contact and assume responsibility for complex repairs and maintenance process.","Vertriebstechniker nehmen die technische Anpassung von Produkten vor, bei denen es sich meistens um schweres Gerät wie Baumaschinen handelt. Sie richten sich dabei nach den Anforderungen und Bedürfnissen der Kunden. Sie halten Kontakt zu den Kunden und übernehmen die Verantwortung für komplexe Reparaturen und Wartungsarbeiten.",sales engineer,"['consumer protection', 'purchase vehicle parts', 'calculate costs of repair operations', 'implement marketing strategies', 'maintain vehicle records', 'check finished vehicles for quality control', 'prospect new customers', 'ensure compliance with warranty contracts', 'negotiate sales contracts', ""manage vehicle services' financial resources"", 'coordinate automotive repair and maintenance service', 'provide customer information related to repairs', 'implement sales strategies', ""keep up-to-date on manufacturer's policies"", 'issue sales quotations for repairs or maintenance', 'achieve sales targets', 'maintain customer records', 'build business relationships', 'apply health and safety standards', 'provide customer follow-up services', 'apply territory planning', 'advise customers on motor vehicles', 'maintain parts inventory', 'car controls', 'e-procurement', 'types of vehicles', 'inventory management rules', 'capital goods industry', 'teamwork principles', 'supply chain principles', 'electrical wiring plans', 'parts pricing', 'drive vehicles', 'organise storage facilities', 'carry out repair of vehicles', 'use communication techniques', 'perform road testing of vehicles', 'maximise sales revenues', 'purchase automotive equipment', 'apply technical communication skills', 'think proactively', 'interpret electrical diagrams']",0,-3.069341030442296
